x,y,ymin,ymax,sd,sd/mean
1,0.6925,0.638,0.742,51.720402163943,0.0746865013197733
2,662.88975,615.416,744.346,58813.8362427017,0.0887234057287833
3,5785.45825,5184.488,6684.216,673716.610525214,0.11644999953551
4,0.42475,0.376,0.451,33.4203032102742,0.0786822912543243
5,1126.481,1078.076,1186.983,53232.4527520572,0.0472555265042705
6,0.06075,0.056,0.068,5.85234995535981,0.0963349786890504
7,0.04775,0.043,0.05,3.20156211871642,0.0670484213343754
8,24.5615,22.832,25.373,1199.16206855732,0.0488228352729808
9,239.14275,208.71,257.038,21772.1443649908,0.0910424604759742
10,119.22175,110.419,127.73,7351.50262984831,0.0616624284566223
11,59.4495,51.128,67.713,6774.6434346515,0.113956272713
12,14400,14400,14400,0,0
13,2240,1723,2600,11708.9496967064,0.0308645612126204
14,1524.24725,1355.11,1635.138,131517.16526592,0.0862833541381952
15,14400,14400,14400,0,0
16,70.0605,59.7,85.212,11441.1020885228,0.163303174949119
17,14400,14400,14400,0,0
