x,y,ymin,ymax,sd,sd/mean
1,0.80675,0.737,0.869,65.5966208479268,0.0813097252530856
2,840.95325,780.227,885.9,51305.205527802,0.0610083919977739
3,14400,14400,14400,0,0
4,0.27325,0.247,0.288,18.3007285829463,0.0669743040546982
5,1980.43875,1744.225,2198.796,196192.025258206,0.0990649295557393
6,1.1825,1.055,1.296,103.603410497274,0.0876138777989632
7,0.0515,0.045,0.063,7.89514618821801,0.153303809479961
8,14400,14400,14400,0,0
9,181.33,162.87,195.61,13585.2996286427,0.0749203089871655
10,14.5105,12.418,16.71,1761.49642822989,0.121394605852996
11,186.741,154.765,205.481,22477.7284142919,0.120368469775207
12,14400,14400,14400,0,0
13,158.5,146,171,78992.7048319442,0.116940299915831
14,3165.782,2931.358,3274.504,160466.321880948,0.0506877358835662
15,14400,14400,14400,0,0
16,16.27575,14.04,19.028,2342.21439027259,0.143908230973847
17,14400,14400,14400,0,0
