x,y,ymin,ymax,sd,sd/mean
1,1.97925,1.761,2.169,169.218547052818,0.0854962976141557
2,1918.11825,1578.996,2110.318,236659.107923014,0.123380874939808
3,573.778,214.037,855.287,287206.535047516,0.500553410983893
4,1.46525,1.03,1.654,296.375184521242,0.202269363263089
5,695.389,606.786,779.476,90086.6246897951,0.129548532820903
6,2.31725,2.225,2.533,144.758131608095,0.0624697946307457
7,0.77225,0.751,0.792,17.9884222024427,0.0232935217901492
8,3.41275,2.872,3.868,510.17341822822,0.149490416300116
9,196.11925,172.633,204.631,15676.3286172709,0.0799326359715882
10,5.85125,4.458,8.452,1844.28077670764,0.315194322017969
11,52.583,9.005,99.117,39299.5818892093,0.747381889378873
12,14057.29725,13029.189,14400,685405.5,0.0487579858212076
13,91.25,55,138,16901.753212808,0.0805368880858655
14,1249.8025,1130.961,1437.976,134081.402325851,0.107282072428124
15,3474.923,831.861,4742.583,1794529.70024126,0.51642286756894
16,10.271,8.265,11.705,1503.17020548794,0.14635091086437
17,10074.82025,8969.572,11993.03,1321213.34364398,0.131140140554268
